genus,species,common_name
Siderastrea,radians,
Siderastrea,sideria,
Stephanocoenia,intersepta,
Montastraea,cavernosa,
Orbicella,annularis,
Orbicella,faveolata,
Orbicella,franski,
Favia,Fragum,
Dichocoenia,stokesii,
Solenastrea,bournoni,
Solenastrea,hyades,
Diplorida,labyrinthiformis,
Pseudodiplora,strigosa,
Pseudodiplora,clivosa,
Colpophyllia,natans,
Manicina,areolata,
Meandrina,meandrites,
Meandrina,jacksoni,
Dendrogyra,cylindrus,
Mycetophyllia,lamarckiana,
Mycetophyllia,aliciae,
Mycetophyllia,ferox,
Mycetophyllia,,
Isophyllia,sinuosa,
Isophyllia,rigida,
Eusmilia,fastigiata,
Mussa,angulosa,
Scolymia,,
Helioseris,cucullata,
Agaricia,fragilis,
Agaricia,lamarki,
Agaricia,agaricites,
Agaricia,tenuifolia,
Agaricia,humilis,
Acropora,cervicornis,
Acropora,palmata,
Acropora,prolifera,
Madracis,auretenra,
Madracis,decactis,
Madracis,pharensis,
Madracis,,
Oculina,diffusa,
Porites,astreoides,
Porites,divaricata,
Porites,furcata,
Porites,porites,
Porites,,
Millepora,alcicornis,
Millepora,complanata,
Millepora,striata,
Millepora,
Millepora,squarrosa,
Stylaster,roseus,
